Vendor_name,Interaction_date,Delivery_punctuality,Quality_of_goods, Contract_term_compliance,Comments
Vendor A,58:02.3,8,5,7,Exceeded expectations
Vendor A,58:02.3,8,5,4,Below expectations
Vendor A,58:02.3,5,2,8,Minor issues
Vendor A,58:02.3,2,5,1,Minor issues
Vendor A,58:02.3,6,9,1,Below expectations
Vendor A,58:02.3,10,3,7,Minor issues
Vendor A,58:02.3,9,3,5,Below expectations
Vendor A,58:02.3,5,9,7,Exceeded expectations
Vendor A,58:02.3,2,10,9,Exceeded expectations
Vendor A,58:02.3,2,4,7,Minor issues
Vendor A,58:02.3,3,1,4,Exceeded expectations
Vendor B,58:02.3,6,6,10,Minor issues
Vendor B,58:02.3,2,10,2,Exceeded expectations
Vendor B,58:02.3,8,7,9,No issues
Vendor B,58:02.3,5,2,5,Exceeded expectations
Vendor B,58:02.3,9,1,9,Met expectations
Vendor B,58:02.3,1,8,8,Below expectations
Vendor B,58:02.3,8,3,3,Met expectations
Vendor B,58:02.3,10,7,10,Met expectations
Vendor B,58:02.3,7,9,8,Minor issues
Vendor B,58:02.3,7,7,8,Major issues
Vendor B,58:02.3,8,6,3,Met expectations
Vendor B,58:02.3,5,3,1,Major issues
Vendor C,58:02.3,7,9,10,Exceeded expectations
Vendor C,58:02.3,7,1,4,Major issues
Vendor C,58:02.3,4,5,7,Major issues
Vendor C,58:02.3,4,7,3,No issues
Vendor C,58:02.3,2,10,9,Major issues
Vendor C,58:02.3,4,10,7,Minor issues
Vendor C,58:02.3,1,1,9,Below expectations
Vendor C,58:02.3,4,9,3,No issues
Vendor C,58:02.3,5,1,3,Exceeded expectations
Vendor C,58:02.3,8,6,8,Met expectations
Vendor C,58:02.3,1,1,10,Minor issues
Vendor C,58:02.3,7,2,3,Met expectations
Vendor C,58:02.3,1,8,1,Below expectations
Vendor C,58:02.3,2,2,6,Major issues
Vendor D,58:02.3,2,5,10,No issues
Vendor D,58:02.3,4,7,8,Below expectations
Vendor D,58:02.3,6,8,5,Minor issues
Vendor D,58:02.3,6,6,1,Met expectations
Vendor D,58:02.3,6,3,4,Minor issues
Vendor E,58:02.3,3,3,4,Minor issues
Vendor E,58:02.3,7,2,8,Met expectations
Vendor E,58:02.3,9,9,2,No issues
Vendor E,58:02.3,3,7,10,Met expectations
Vendor E,58:02.3,1,2,1,No issues
Vendor E,58:02.3,5,5,7,Met expectations
Vendor E,58:02.3,3,3,3,Minor issues
Vendor E,58:02.3,6,8,1,Minor issues
Vendor F,58:02.3,4,3,9,Below expectations
Vendor F,58:02.3,2,2,2,No issues
Vendor F,58:02.3,9,4,1,Minor issues
Vendor F,58:02.3,5,4,8,Below expectations
Vendor F,58:02.3,1,3,6,No issues
Vendor G,58:02.3,3,6,8,Below expectations
Vendor G,58:02.3,2,5,1,Minor issues
Vendor G,58:02.3,3,4,3,Met expectations
Vendor G,58:02.3,5,6,3,Minor issues
Vendor G,58:02.3,5,8,1,No issues
Vendor G,58:02.3,3,1,4,Major issues
Vendor G,58:02.3,3,2,9,Exceeded expectations
Vendor G,58:02.3,6,10,3,No issues
Vendor G,58:02.3,2,6,7,Exceeded expectations
Vendor G,58:02.3,10,2,10,Met expectations
Vendor H,58:02.3,6,7,10,Exceeded expectations
Vendor H,58:02.3,2,9,8,Major issues
Vendor H,58:02.3,10,7,9,Minor issues
Vendor H,58:02.3,4,1,8,No issues
Vendor H,58:02.3,3,7,2,Exceeded expectations
Vendor H,58:02.3,7,6,3,Met expectations
Vendor H,58:02.3,6,10,10,No issues
Vendor H,58:02.3,4,10,6,No issues
Vendor H,58:02.3,1,8,5,Minor issues
Vendor H,58:02.3,5,7,4,No issues
Vendor H,58:02.3,3,7,8,Minor issues
Vendor H,58:02.3,2,10,3,Met expectations
Vendor I,58:02.3,3,10,7,Exceeded expectations
Vendor I,58:02.3,10,5,7,Met expectations
Vendor I,58:02.3,10,10,1,Exceeded expectations
Vendor I,58:02.3,6,9,8,Major issues
Vendor I,58:02.3,7,5,6,Major issues
Vendor I,58:02.3,3,10,3,Major issues
Vendor I,58:02.3,9,5,1,No issues
Vendor I,58:02.3,4,5,10,Exceeded expectations
Vendor I,58:02.3,7,4,1,No issues
Vendor I,58:02.3,5,7,10,Exceeded expectations
Vendor I,58:02.3,5,4,2,Minor issues
Vendor I,58:02.3,10,10,3,Exceeded expectations
Vendor J,58:02.3,4,8,7,Exceeded expectations
Vendor J,58:02.3,4,8,2,Below expectations
Vendor J,58:02.3,1,3,5,Minor issues
Vendor J,58:02.3,1,1,8,Exceeded expectations
Vendor J,58:02.3,2,3,2,Below expectations
